rsllrllrlrrsrlrls,17,14,3,3,3,1,4.666667,0.1764706,-0.2006536
rsllrllrlrrsrlsrl,17,14,3,3,4,1,3.5,0.1764706,-0.04509804
rsllrllrlrrsrllrrsl,19,16,3,3,4,1,4,0.1578947,-0.1210526
rsllrllrlrrssrsssllsr,21,14,7,4,5,1.75,2.8,0.3333333,-1
rsllrllrlrrssrssllr,19,14,5,3,4,1.666667,3.5,0.2631579,0.2649123
rsllrllrlrrssrsls,17,12,5,4,4,1.25,3,0.2941177,0.1803922
rsllrllrlrrssrlrl,17,14,3,2,3,1.5,4.666667,0.1764706,-0.0006535714
rsllrllrlrrsssrrlssllsr,23,16,7,4,5,1.75,3.2,0.3043478,-1
rsllrllrlrrsssrrlsllr,21,16,5,3,4,1.666667,4,0.2380952,-1
rsllrllrlrrsssrrlls,19,14,5,3,3,1.666667,4.666667,0.2631579,0.1093567
rsllrllrlrrsssrsl,17,12,5,3,4,1.666667,3,0.2941177,0.3470588
rsllsrrslslsr,13,8,5,5,6,1,1.333333,0.3846154,0.3478633
rsllsrrslsllrrs,15,10,5,5,5,1,2,0.3333333,0.2333333
rsllsrrslsllrsrrl,17,12,5,5,6,1,2,0.2941177,0.2137255
rsllsrrslsllrssrrsl,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllsrrslsllrslrrsrsl,21,14,7,7,8,1,1.75,0.3333333,-1
rsllsrrslsllrslsrrssrsl,23,14,9,8,9,1.125,1.555556,0.3913043,-1
rsllsrrslsllrslssrrsssrsl,25,14,11,8,9,1.375,1.555556,0.44,-1
rsllsrrsllrlr,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrrsllsrs,13,8,5,5,5,1,1.6,0.3846154,0.3123077
rsllsrrsllssrrl,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllsrrsllsssrrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rsllsrrsllsslrrsrsl,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllsrrsllsslsrrssrsl,21,12,9,7,8,1.285714,1.5,0.4285714,-1
rsllsrrsllsslssrrsssrsl,23,12,11,7,8,1.571429,1.5,0.4782609,-1
rsllsrrlrllsr,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrrlslr,11,8,3,3,4,1,2,0.2727273,0.2030303
